ts_utc,ts_local,ticker,price,signal,method
2025-09-18T09:24:34.929237+00:00,2025-09-18 13:45:00,TPB,18850,1,Wyckoff+VSA+RSI
2025-09-18T09:24:34.929237+00:00,2025-09-18 14:15:00,TPB,18900,1,Wyckoff+VSA+RSI
2025-09-18T09:24:35.458699+00:00,2025-08-21 09:45:00,NAB,16250,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:35.458699+00:00,2025-08-21 10:45:00,NAB,16300,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:35.459696+00:00,2025-08-21 11:15:00,NAB,16350,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:35.459696+00:00,2025-08-21 13:15:00,NAB,16300,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:35.459696+00:00,2025-08-21 13:45:00,NAB,16300,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:35.460693+00:00,2025-08-22 09:15:00,NAB,16750,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:35.460693+00:00,2025-08-22 10:00:00,NAB,16850,-1,Wyckoff+VSA+RSI
2025-09-18T09:24:35.460693+00:00,2025-08-25 09:15:00,NAB,17150,-1,Wyckoff+VSA+RSI
